"id","Tweet","Stance","Set","screen_name","user_id","date","POS"
"856466484545060865","Non mais c'est une blague?! Holllande qui invite LePen à l'hommage national?!!!!!!!!! Mais ce mec est une merde fin… https://t.co/aTOdhhXH5q","AGAINST","Test","M2bliquis","556902767","2017-04-24 11:14:56",
"856467386936983552","- La France est divisée entre Alf et une créature démoniaque difforme
- Macron et Le Pen?
- Mais nan! La carte!… https://t.co/tYwI6GMF4m","AGAINST","Test","springrevdries","798167193737449472","2017-04-24 11:18:32",
"856467997891997696","L'humiliation cinglante de Marine Le Pen et du FN à PARIS, Ville Lumière, ville-monde, révolutionnaire et résistant… https://t.co/Lcf5q4WVj1","AGAINST","Test","DcNoemie","586703674","2017-04-24 11:20:57",
"856472563299516416","Le Pen = Bryce
- trop populaire et c'est inquiétant
- aucune morale
- niveau de fdputerie élevé
- tema ils se resse… https://t.co/tDzmeyIDy3","AGAINST","Test","lilouh03","2950062022","2017-04-24 11:39:06",
"856473057426378752","Oubliez pas Le Pen, La grande ANTI-EUROPE, a créée, elle aussi, des emplois fictifs au parlement","AGAINST","Test","Homidmd","511933795","2017-04-24 11:41:04",
"856486286986809344","Si Macron passe on va se serrer la ceinture, si LePen passe on va se serrer dans l'avion.","AGAINST","Test","TweetManageur","1382398585","2017-04-24 12:33:38",
"856487723598827520","Le pen a Marseille : 23,66%
Le pen a Paris : 5%

Voilà en plus d'avoir Rolando Fanni en défense mais c quel genre de vie que vous mené?","AGAINST","Test","Jr_HKMT","4128616816","2017-04-24 12:39:20",
"856492360779395073","MOBILISONS-NOUS tous dès demain contre Le Pen et son parti raciste, homophobe, sexiste et opposé aux valeurs... https://t.co/aVXFNbCCfG","AGAINST","Test","telicare","830079633580240898","2017-04-24 12:57:46",
"856505453999685632","????????????FLASH - Macron accepte de participer au débat TV du #2ndTour face à Le Pen. Le 3 mai sur TF1 et France 2.","NONE","Test","Heritierbokomb1","845284051611201536","2017-04-24 13:49:47",
"856522590327889920","Avec 24,29% des voix, Marine Le Pen  est arrivée largement devant Macron en Guyane au premier tour ! https://t.co/6uj3EIh2Uq","FAVOUR","Test","GiseleArmengaud","808562523675000832","2017-04-24 14:57:53",
"856528764527837186","@ekathimerini
Même #Syriza appelle à voter pour #Macron pour battre #LePen.
#Presidentielle2017
#SansMoiLe7Mai","AGAINST","Test","FaireLeBonChoix","237277802","2017-04-24 15:22:25",
"856542312935174144","J’appelle à combattre et rejeter Mme Le Pen. Je voterai donc pour E. #Macron, et j’appelle celles et ceux qui m’ont soutenu à faire de même.","AGAINST","Test","leprojetfrance","733678526692528128","2017-04-24 16:16:15",
"856546677850869761","Macron Le Pen c'est choisir entre la peste et le choléra","AGAINST","Test","HugoFlrzn","855081607","2017-04-24 16:33:36",
"856552822116143104","Tous les fdp qui ont votés le Pen","AGAINST","Test","clamoraant","782554426703745024","2017-04-24 16:58:01",
"856557637131014144","J'ai l'impression tout ceux qui sont favorables à Le Pen ils ont un QI négatif, que des k-sos déscolarisé etc ????","AGAINST","Test","Riiser_","2428842095","2017-04-24 17:17:09",
"856560018715545602","La coordinatrice de la campagne de #Fillon a annoncé qu'elle votera #MarineLePen pour ""battre #Macron""… https://t.co/qHSXpi4zxf","FAVOUR","Test","Yi_Benevolence","585968039","2017-04-24 17:26:37",
"856560462003142656","????????????La FR est coupée en 5 
-Abstention 22,23
-Fillon 20,01
-Macron 24,01
-Mélenchon 19,58 
-Le Pen 21,30
(Résultats définitifs - Intérieur)","NONE","Test","gallissette","2638848088","2017-04-24 17:28:22",
"856571955239157766","Quelles sont les principales différences entre les programmes de Macron et Le Pen? https://t.co/Tz6RpwUb3b","NONE","Test","ks_mikey","304884944","2017-04-24 18:14:03",
"856582324229742593","J'espère que Le Pen va passer ça fait trop longtemps que j'ai pas vu mes cousins","FAVOUR","Test","AnnaGhattab","4008481161","2017-04-24 18:55:15",
"856583874041786368","@Yohan_Czl @sbacchiolelli @Marine_R Mdrr en haut de la celle ya que des vieux aigris c'est sur que ca vote le Pen en masse","AGAINST","Test","Yohan_Czl","89172986","2017-04-24 19:01:24",
